visit_number,patient_number,sepsis_score,group,patient_name,admission_date,discharge_date,days_of_hospitalization,discharge_status,survival_status,patient_breed,sex,weight,age,clinical_diagnosis,other_conditions,premature,gestational_age,attitude,T,P,R,CRT,blood_culture_done,blood_culture_result,blood_culture_result_desc,IgG,RBC,Hg,HCT,MCV,MCH,MCHC,RDW,nucleated_RBC,anisocytosis,echinocytes,Howell_Jolly_bodies,acanthocytes,other_morphology,poikilocytosis,schistocytes,rouleaux,Heinz_bodies,microcytes,WBC ,metamyelocytes,bands,toxicity1,neut,toxicity2,lymph,mono,eos,baso,platelets,clumps,macroplatelets,TPP,fib,RPR,glu,lactate,creatinine
2072CV,692961,15,Septic,Moonlight Caper 17,21-May-17,23-May-17,2.00,EUTH,Non-Survivor,EQ-THOROUGHBRED,M,,120,1) Clostridium perfringens enterocolitis toxin beta. 2) Clostridium difficile enterocolitis toxins A/B. 3) Septic peritonitis (Clostridium sp.) from translocation/perforation.,No,,,"depressed, dull mentation",101,144,64,3,1,2,no growth,,11.93,15.90,46.40,38.90,13.30,34.30,17.90,,slight ,many,,,,,,,,,6200.00,,2604.00,moderate toxicity,1240.00,slight toxicity,1736.00,558.00,62.00,0.00,105.00,,,4.50,300.00,0.1705,215.00,3.00,0.8
2878CQ,688916,12,Septic,Grace 2016 Colt,14-Apr-16,23-Apr-16,9.00,EUTH,Non-Survivor,EQ-WARMBLOOD,M,79.6,168,"1) Septic osteomyelitis of medial femoral condyle and septic medial femorotibial and femoropatellar joints, left stifle.",No,No,342,BAR,102.3,132,104,1,1,2,No Growth,<800,8.30,12.30,35.10,42.30,14.80,35.00,18.00,,Slight,,Rare,,,,,,,,14700.00,,294.00,,13230.00,,1029.00,147.00,0.00,0.00,129.00,,,5.50,500.00,0.1395,130.00,1.30,0.8
6600CL,685561,6,SNS,Rammerstorfer 2015 Colt,16-Apr-15,19-Apr-15,3.00,ALIVE,Survivor,EQ-QUARTER HORSE],M,,72,1) Diarrhea - resolved - open etiology 2) Suspected inflammatory polysynovitis,,,,BAR,100,80,40,2,2,,,1100,8.47,12.60,33.10,39.10,14.90,38.10,18.80,,Slight,Moderate,,,,,,,,,5360.00,,,,3913.00,,1179.00,214.00,0.00,54.00,190.00,,,5.00,500.00,0.0989,113.00,1.50,0.8
4921CP,688167,0,SNS,Valentine,16-Feb-16,27-Feb-16,11.00,ALIVE,Survivor,EQ-QUARTER HORSE],M,57.6,168,"1) Comminuted, Closed Right Tuber Coxae Fracture",,,,BAR,100.8,104,24,1,2,,,>800,9.02,11.60,34.90,38.70,12.90,33.20,17.80,,Slight,,Rare,,,,,,,,8400.00,,,,6880.00,,1420.00,59.00,8.00,25.00,183.00,,,7.20,200.00,0.0973,106.00,1.00,0.8
54142FS,678714,4,SNS,Stonewall Minuet,2-May-13,2-May-13,0.00,ALIVE,Survivor,EQ-KNABSTRUPPER,F,,144,1) Clostridium difficile positive,No,,,BAR,102.1,80,,,2,,,,7.55,11.20,29.70,39.30,14.80,37.70,18.20,,Slight,,,,,,,,,,10000.00,,,,7280.00,,2170.00,430.00,50.00,60.00,202.00,,,6.10,400.00,0.0901,188.00,,0.8
79017EM,695576,7,SNS,Evangeline Foal 2018,8-Apr-18,10-Apr-18,2.00,ALIVE,Survivor,EQ-MIX/FRIESIAN/ARABIAN,F,51.8,72,"1) Hoof wall avulsion, medial LH, complete",No,No,353,BAR,101.9,140,44,2,2,,,>800,8.63,12.00,35.90,41.60,13.90,33.40,17.70,,Slight,,,,,,,,,,3020.00,,60.00,,1903.00,,634.00,393.00,0.00,30.00,206.00,,,7.80,300.00,0.0859,417.00,2.70,0.8
6081CH,682599,1,Healthy,Nike (Georgia's 14 Colt),22-May-14,14-Jul-14,53.00,ALIVE,Survivor,EQ-WARMBLOOD,M,42,72,1) Angular Limb Deformity: right metatarsophalangeal varus and left distal phalangeal rotational deformity,,Yes,316,BAR,101.3,96,32,1-2s,2,,,>800,9.28,13.50,38.50,41.50,14.50,35.10,17.20,,Slight,Few,Rare,,,,,,,,9610.00,,,,7505.00,,1355.00,644.00,48.00,58.00,118.00,,,5.60,300.00,0.1458,144.00,,0.9
78616FS,841192,1,Healthy,Robbinque's 2021 Foal,2-Jul-21,2-Jul-21,0.00,ALIVE,Survivor,EQ-ARABIAN,F,,120,1) frequent shoulder mm quivering - flies vs neuronal firing 2) umbilical remnant not appropriately regressed - to be monitored 3) CHEM NSF 4) CBC pending 5) Vit E selenium pending,No,,,BARH,101.4,120,50,<2,2,,,>800,10.71,13.30,37.80,35.50,12.50,35.30,19.50,,slight,moderate,,,few ovalocytes,,,,,,8070.00,,40.00,,6133.00,,1614.00,242.00,0.00,40.00,162.00,no,,5.40,400.00,0.1204,176.00,,0.9
62172FS,688329,2,SNS,Tiztuff 16 Colt,24-Feb-16,24-Feb-16,0.00,ALIVE,Survivor,EQ-MIX/THOROUGHBRED/QUARTER HORSE,M,,96,1) Omphalitis. 2) Rectal meconium retention.,No,,,,101.4,88,80,2,2,,,,9.49,13.20,37.30,39.30,13.90,35.40,19.40,,Slight,,Rare,,,,,,,,5000.00,,,,3690.00,,940.00,320.00,30.00,20.00,165.00,,,5.80,300.00,0.1176,,,0.9
4592CU,691899,7,Septic,Shy Filly '17,24-Mar-17,27-Mar-17,3.00,ALIVE,Survivor,EQ-QUARTER HORSE],F,~50,28,1) Diarrhea and Colic Secondary to Clostridium difficile,No,,,QAR,100,120,36,2.5s,1,1,LARGE GRAM (+) RODS. CULTURE: BACILLUS SP,,10.86,15.40,45.30,41.70,14.20,34.00,18.50,,slight,,,,,,,,,,7360.00,,294.00,slight toxicity,6256.00,,589.00,221.00,,,159.00,,,4.40,400.00,0.1164,140.00,1.50,0.9
5197DM,842246,16,Septic,Duke,12-Apr-21,27-Apr-21,15.00,ALIVE,Survivor,EQ-THOROUGHBRED,M,56,120,"1) Partial failure of passive transfer 2) Sepsis 3) Septic arthritis - coffin, fetlock, stifle 4) Osteomyelitis - Left: focal subchondral lucency of the calcaneus, multiple small subchondral lucencies of the medialtrochlear ridge, multiple ill-defined lucencies in the subchondral bone of proximal MT3 centrally. Right Tarsus: There is a focal ill defined lucency in the proximal aspect of the medial trochlear ridge, which is superimposed on the distal tibial epiphysis, seen on the DP view",,,,QAR,102.7,100,28,2,1,2,No growth,400-800,7.90,11.40,31.70,40.20,14.50,36.00,18.50,,slight,,,,,,,,,,10890.00,,1960.00,"SLIGHT TOXICITY, few MODERATE TOXICITY",7950.00,slight TOXICITY,653.00,327.00,,,178.00,no,,4.60,500.00,0.1039,150.00,2.10,0.9
3716CG,681042,9,SNS,Enchante's 2014 Foal,14-Feb-14,25-Feb-14,11.00,ALIVE,Survivor,EQ-HOLSTEINER,F,68,96,1) Orphaned foal 2) Clostridium difficile,No,No,344,BAR,102.9,108,40,1-2s,2,,,400,11.16,15.30,43.20,38.70,13.70,35.40,17.40,,Slight,Few,,Moderate,,,,,,,8390.00,,,,6653.00,,1326.00,310.00,50.00,42.00,168.00,,,7.10,400.00,0.1036,113.00,1.70,0.9
350DE,699979,4,SNS,Jethro,27-Apr-19,30-Apr-19,3.00,ALIVE,Survivor,EQ-MIX/QUARTER HORSE]/MORGAN,M,52,96,1) Diarrhea-open.,No,No,354,BAR,101.2,88,32,2,2,,,>800,8.41,11.00,31.50,37.50,13.10,34.90,18.90,,Slight,Moderate,,,,,,,,,7050.00,,,,5147.00,,1622.00,212.00,71.00,0.00,200.00,,,5.40,300.00,0.0945,185.00,1.50,0.9
3094CQ,688539,4,SNS,Violet's Foal,17-Apr-16,20-Apr-16,3.00,ALIVE,Survivor,EQ-WARMBLOOD,M,35.8,32,1) meconium impaction 2) slight prematurity,No,No,326,QAR,96.6,72,18,1,2,,,400-800,8.84,12.50,35.80,40.50,14.10,34.90,18.40,,Slight,,,,,,,,,,5820.00,,,,4179.00,,1484.00,122.00,29.00,6.00,216.00,,,4.50,300.00,0.0852,233.00,1.40,0.9
6777CV,693020,2,Septic,Belle Colt '17,26-Jun-17,5-Jul-17,9.00,ALIVE,Survivor,EQ-ARABIAN,M,37,72,"1) Enterocolitis, Clostridium perfringens type A 2) Septicemia, E. coli 3) Bronchopneumonia",,No,347,BAR,101.6,92,20,1,1,1, LARGE NUMBERS GRAM (-) RODS. CULTURE: E. COLI (BY MALDI-TOF). NO ANAEROBES WERE CULTURED.,>800,10.57,13.70,37.50,35.50,13.00,36.50,19.50,,Slight,,,,,,,,,,5900.00,,118.00,,4661.00,,944.00,177.00,0.00,0.00,260.00,,,5.00,300.00,0.0750,123.00,2.00,0.9
57257FS,682568,4,SNS,Duchess 14 Colt,1-Jun-14,1-Jun-14,0.00,ALIVE,Survivor,EQ-MISSOURI FOX TROTTER,M,30,24,"1) Dysmature foal 2) Suspected partial FPT 3) DDx NMS/HIE, early Sepsis",,No,360,Mildly Obtunded,98.1,144,36,<2,2,,,,8.07,10.30,31.50,39.00,12.80,32.70,16.90,,Slight,,,,,,,,,,4180.00,,,,3114.00,,995.00,63.00,8.00,0.00,372.00,,,3.60,300.00,0.0454,257.00,,0.9
71525EM,685723,6,SNS,Rosewood Absolutely,25-May-15,30-May-15,5.00,ALIVE,Survivor,EQ-THOROUGHBRED,M,63.8,120,1) Bilateral carpal valgus 2) Historical failure of passive transfer,Yes,No,,QAR,101.9,66,28,,2,,,>800,9.33,12.70,31.40,33.70,13.60,40.40,19.60,,Slight,Few,,,,,,,,,4520.00,,,,2662.00,,1555.00,249.00,41.00,9.00,115.00,,,4.80,300.00,0.1704,135.00,1.90,1
4325CH,682740,9,SNS,Vienna,10-May-14,19-May-14,9.00,ALIVE,Survivor,EQ-FRIESIAN,F,50,72,1) Hypoxic ischemic encephalopathy 2) Sepsis-aspiration pneumonia 3) Orphan with successful grafting to mare,Yes,No,328,Quiet,100.7,120,40,1,1,2,NO GROWTH,>800,8.30,12.20,35.40,42.70,14.70,34.50,16.90,,Slight,,,,,,,,,,5250.00,,,,3796.00,,1113.00,320.00,5.00,11.00,110.00,,,5.30,400.00,0.1536,125.00,1.30,1
51503FS,675663,2,Healthy,Blaze Zen Fire,19-May-12,19-May-12,0.00,ALIVE,Survivor,EQ-ARABIAN,M,,120,1) Foal exam (new born),No,No,332,BAR,99.9,132,28,1-2s,2,,,,9.17,12.20,34.10,37.20,13.30,35.80,18.60,,Slight,,,,,,,,,,5690.00,,,,3886.00,,1326.00,415.00,23.00,40.00,124.00,,,4.60,300.00,0.1500,176.00,,1
61901FS,688077,18,Septic,Red Rachael 16 Filly,17-Jan-16,17-Jan-16,0.00,EUTH,Non-Survivor,EQ-THOROUGHBRED,F,,48,1) Diarrhea 2) Clostridium Difficile,No,Yes,318,BAR,99.5,120,28,2,1,1,DIRECT SMEAR: NO ORGANISMS SEEN(1/18/16 & 1/19/16). CULTURE: NO GROWTH. NO ANAEROBES WERE CULTURED.,800,12.49,17.10,50.90,40.80,13.70,33.60,19.40,,Slight,,,,,,,,,,3470.00,,1492.00,Slight,1319.00,Slight Toxicity,555.00,104.00,,,133.00,,,5.50,200.00,0.1459,59.00,5.80,1
9787CC,678855,6,SNS,Makersmark,29-Apr-13,3-May-13,4.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,45,48,1) Angular limb deformities 2) Flexural limb deformities 3) Selenium deficiency,No,No,350,BAR,100.1,110,60,1.5s,2,,,>800,9.55,12.50,33.50,35.10,13.10,37.30,18.30,,Slight,,,,,,,,,,4230.00,,,,3579.00,,461.00,165.00,13.00,13.00,167.00,,,6.20,400.00,0.1096,121.00,1.20,1
9532DL,841721,1,SNS,Pulitzer Colt Of 745,2-Mar-21,23-Mar-21,21.00,ALIVE,Survivor,EQ-WARMBLOOD,M,,168,"1) Patent urachus, urachitis and omphalophlebitis (resolving) 2) Carpal valgus (improving) 3) Tarsal valgus (resolved) 4) Distal hindlimb contracture (improving)",No,,,BAR,101.1,80,24,2,1,2,No growth,,6.53,9.70,27.00,41.30,14.90,35.90,18.70,1/100 WBC,Slight,,Rare,,,,,,,,6465.00,,,,4332.00,,1972.00,162.00,0.00,0.00,185.00,No,,5.90,400.00,0.1011,115.00,1.20,1
6285CH,682686,13,Septic,Spooky's 2014 Et Filly,24-May-14,29-May-14,5.00,ALIVE,Survivor,EQ-QUARTER HORSE],F,47.2,96,1) Enterocolitis - open (unidentified cause),No,No,,QAR,100.9,160,80,2-3s,1,2,NO GROWTH,>800,9.66,13.00,38.70,40.10,13.50,33.60,16.90,,Slight,,,,,,,,,,6350.00,,2955.00,FEW SLIGHT TOXIC,9568.00,,1126.00,422.00,0.00,0.00,179.00,,,5.80,500.00,0.0944,77.00,5.10,1
71949FS,698663,3,SNS,Nice Lukin Assets 19 Colt,8-Apr-19,8-Apr-19,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,,48,1) Failure of Passive Transfer 2) Mild to moderate limb laxity (front>hind) 3) Enlarged external umbilical stump 4) Grade II/VI left systolic murmur - suspect physiologic,No,No,334,BAR,101.4,150,56,2,2,,,250-270 ug/dL,9.63,13.40,37.10,38.50,13.90,36.10,19.80,,Slight,Moderate,,,,,,,,,8810.00,,,,7110.00,,1568.00,53.00,35.00,44.00,214.00,,,4.00,200.00,0.0925,,,1
300DI,838026,8,SNS,Tiare Foal 2020,29-Feb-20,6-Mar-20,6.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,45,24,Diarrhea,No,,,BAR,100.9,124,24,1,1,2,No growth,>800,9.81,14.00,43.50,44.30,14.30,32.20,18.00,,Slight,Many,,,,,,,,,2670.00,,774.00,"FEW SLIGHT, FEW MODERATE TOXICITY",1175.00,,641.00,80.00,0.00,0.00,197.00,No,,5.50,200.00,0.0914,155.00,1.40,1
3025CQ,688926,6,SNS,Gordie Colt 2016,15-Apr-16,15-May-16,30.00,ALIVE,Survivor,EQ-IRISH SPORT HORSE,M,87,168,"1) Septic osteomyelitis, left lateral tibial plateau. 2) Severe lateral meniscus damage, left stifle. 3) Marked femoropatellar synovitis. 4) Left tarsal and fetlock valgus (secondary to #s1-3). 5) Moderate left hind distal limb contracture (secondary to #s1-3).",,,,BAR,101.9,124,60,1,1,2,No Growth,>800,8.89,12.00,33.60,37.80,13.50,35.70,18.40,,Slight,Moderate,,,,,,,,,14250.00,,,,12113.00,,1425.00,570.00,143.00,,214.00,,,6.40,400.00,0.0860,172.00,2.00,1
8972DM,842059,1,Healthy,Stonewall Raven,8-May-21,11-May-21,3.00,ALIVE,Survivor,EQ-STONEWALL SPORT HORSE,F,48,24,1) Severe Meconium impaction- resolved,No,,,"QAR, painful and kicking at her belly, but standing",100.3,145,32,<2,2,,,>800,7.62,10.70,30.90,40.60,14.00,34.50,18.70,,slight,moderate,,,,,,,,,6040.00,,,,4430.00,,1320.00,240.00,20.00,20.00,226.00,no,,5.70,300.00,0.0827,99.00,2.80,1
2448CH,682303,5,SNS,Thijs,25-Apr-14,1-May-14,6.00,ALIVE,Survivor,EQ-FRIESIAN,M,59.8,36,1) Meconium impaction. 2) Failure of passive transfer. 3) Aspiration pneumonia.,No,,,QAR,98.2,112,60,2,1,2,NO GROWTH,400,10.07,14.50,42.30,42.00,14.40,34.40,16.40,,Slight,Few,,,,,,,,,7170.00,,,,6030.00,,954.00,143.00,29.00,7.00,199.00,,,4.80,300.00,0.0824,144.00,1.00,1
2745DD,698709,3,SNS,Rainy,1-Mar-19,1-Mar-19,0.00,ALIVE,Survivor,EQ-QUARTER HORSE],F,25.6,48,1) Laxity- carpi and all four fetlocks. 2) Increased GGT- open etiology.,Yes,,,BAR,101.1,120,80,2,2,,,>800,9.76,13.90,40.90,41.90,14.20,34.00,18.00,,Slight,Few,Rare,,,,,,,,7710.00,,,,6507.00,,1010.00,154.00,15.00,23.00,224.00,,,4.10,100.00,0.0804,130.00,,1
2687CZ,694678,2,SNS,Remington,16-Apr-18,19-Apr-18,3.00,ALIVE,Survivor,EQ-QUARTER HORSE],M,40,7,1) Meconium impaction 2) Hyperechoic urachus (DDx blood clot or urachal infection),,No,340,BAR,100.6,136,36,3,2,,,>800,10.29,14.30,42.80,41.60,13.90,33.40,18.10,,Slight,Moderate,,,,,,,,,3700.00,,,,2716.00,,918.00,41.00,7.00,22.00,226.00,,,4.70,200.00,0.0801,134.00,1.70,1
7205DD,698659,14,Septic,Grace 2019 Foal,4-Apr-19,4-Apr-19,0.00,EUTH,Non-Survivor,EQ-QUARTER HORSE],F,27,10,1) Premature (suspected fetal inflammatory response) 2) Failure of ossification of cuboidal bones (Gr II/IV),,Yes,315,BAR,95.6,120,24,2,1,2,No Growth,,9.82,15.50,46.30,47.10,15.80,33.50,17.90,,Slight,Many,,,,,,,,,17190.00,,1375.00,,12549.00,,2579.00,688.00,0.00,0.00,372.00,,,5.70,1200.00,0.0481,57.00,5.80,1
3195DD,698799,12,Septic,Vindictive Cat 2019 Colt,4-Mar-19,12-Mar-19,8.00,ALIVE,Survivor,EQ-THOROUGHBRED,M,39,24,"1) Neonatal encephalopathy 2) Sepsis (etiology: Escherichia coli) (markedly improved) 3) Dysmaturity (presumptive) 4) Subcutaneous abscess, right pelvic limb (plantaromedial aspect, 5 cm distal to calcaneus) 5) Linear dermal necrosis, left pelvic limb (lateral aspect of the hock) 6) Aspiration pneumonia (improving) 7) Carpal valgus 8) Tendon laxity, fetlock (all four limbs, thoracic limbs>pelvic limbs) 9) Tendon contracture, carpal (bilateral forelimb) 10) Uveitis (resolved)",,,,BAR,98.6,120,35,4,1,1,E. coli non-hemolytic,400-800,8.52,11.40,32.20,37.80,13.40,35.40,18.10,,Slight,Many,,,,,,,,,5440.00,,490.00,,3917.00,,490.00,544.00,0.00,0.00,106.00,,,5.20,300.00,0.1708,129.00,4.20,1.1
2730CD,679877,8,SNS,Jefa's 13 Colt,21-May-13,31-May-13,10.00,ALIVE,Survivor,EQ-ANDALUSIAN,M,64.8,20,1) Meconium impaction. 2) Mild pneumonia (presumed aspiration).,No,,,,100.1,130,60,~1,1,2,NO GROWTH,<800,10.01,13.50,38.40,38.40,13.50,35.20,18.80,,Slight,,,,,,,,,,4860.00,,340.00,,3305.00,,1166.00,49.00,0.00,0.00,132.00,,,6.90,300.00,0.1424,169.00,2.40,1.1
73221FS,837050,2,Healthy,Albert,19-Aug-19,19-Aug-19,0.00,ALIVE,Survivor,EQ-AMERICAN MINIATURE,M,10,24,1) Newborn foal exam - IgG check (Snap Test),No,,,BAR,101.8,110,100,1,2,,,>800,8.48,17.00,50.70,59.80,20.00,33.50,21.60,,Slight,Moderate,,,,,,,,,6680.00,,67.00,,5478.00,,935.00,134.00,67.00,0.00,185.00,,,7.40,200.00,0.1168,,,1.1
8317DC,698225,0,Healthy,Filly Of Lady Rail Rider '19,28-Jan-19,1-Feb-19,4.00,ALIVE,Survivor,EQ-THOROUGHBRED,F,62,39.5,1) Healthy neonate,No,,,BAR,100.8,108,40,2,2,,,>800,10.67,15.30,46.50,43.60,14.30,32.90,17.40,,Slight,Few,,,,,,,,,5930.00,,,,4133.00,,1577.00,125.00,24.00,65.00,176.00,,,7.00,300.00,0.0989,,,1.1
59165FS,684647,0,SNS,Crowd Control 15 Colt,3-Feb-15,3-Feb-15,0.00,ALIVE,Survivor,EQ-THOROUGHBRED,M,50,24,1) Neonatal Isoerythrolysis 2) Subclinical Neonatal Alloimmune Thrombocytopenia,No,,,BARH,101.3,120,60,<2 ,2,,,>800,4.54,7.10,18.40,40.50,15.60,38.60,18.50,,Slight,,Rare,,,,,,,,6140.00,,,,4519.00,,1535.00,49.00,25.00,6.00,197.00,,,6.90,300.00,0.0939,162.00,1.20,1.1
7294CC,678672,6,SNS,Karess '13 Filly,9-Apr-13,13-Apr-13,4.00,ALIVE,Survivor,EQ-HANOVERIAN,F,59,48,1) Right tarsal contusion with secondary cellulitis and ulceration 2) Thyroid hyperplasia- bilateral 3) Superficial omphalitis,,,,BAR,101,112,84,<1,1,2,NO GROWTH,,9.14,13.30,35.30,38.60,14.60,37.70,18.00,,Slight,,,,,,,,,,12110.00,,,,10584.00,,1078.00,315.00,48.00,85.00,225.00,,,4.80,300.00,0.0800,188.00,1.60,1.1
71373EM,685706,0,Healthy,Liriano,7-May-15,12-May-15,5.00,ALIVE,Survivor,EQ-BELGIAN WARMBLOOD,M,61,72,"1) Bilateral forelimb contracture- fetlocks, pasterns, coffin",No,No,338,BAR,100.3,80,40,~3,2,,,>800,10.65,16.80,44.10,41.40,15.80,38.10,18.10,,Slight,Many,Rare,,,,,,,,9120.00,,,,6794.00,,1943.00,337.00,18.00,36.00,250.00,,,6.10,300.00,0.0724,144.00,1.20,1.1
4276CZ,694686,0,SNS,Delilah,27-Apr-18,1-May-18,4.00,ALIVE,Survivor,EQ-QUARTER HORSE],F,38,48,1) Fever of unknown origin - possible enteritis or enterocolitis,No,No,337,BAR,101.2,112,30,1,1,2,No Growth,1372,7.75,10.70,30.90,39.90,13.80,34.60,17.70,,Slight,Rare,Rare,Few,Rare Dacryocytes,,,,,,5860.00,,,,4436.00,,1324.00,70.00,12.00,18.00,264.00,,,4.90,200.00,0.0670,198.00,1.50,1.1
